Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_48_929.jpg;0;0.2050975;0;0;102.9455;74.2542;-0.000141014;283.7493;-6.976141E-06
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_48_998.jpg;0;0.4005964;0;0.01372738;102.9461;74.25186;0.0513563;283.8411;-0.0001895761
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_49_064.jpg;0;0.6030151;0;0.05090035;102.9474;74.24669;0.1625865;283.8314;-0.0001684225
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_49_113.jpg;0;0.7026982;0;0.06613524;102.9484;74.24245;0.2479943;283.9785;-0.0008604616
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_49_180.jpg;0;0.9518515;0;0.11153;102.9516;74.22963;0.4871655;284.0403;-0.0008736954
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_49_246.jpg;0;1;0;0.1560778;102.9549;74.2163;0.7010346;283.9553;0.0001491014
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_49_312.jpg;0;1;0;0.2165478;102.959;74.19929;0.9482239;283.8253;0.0005415668
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_49_381.jpg;0;1;0;0.2732055;102.9657;74.17184;1.277066;283.9865;-0.002933401
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_49_447.jpg;0;1;0;0.3193575;102.9705;74.1524;1.288522;284.0438;-0.003201767
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_49_513.jpg;0;1;0;0.4089008;102.9758;74.13073;1.174651;284.0992;-0.001396774
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_49_581.jpg;0;1;0;0.4646831;102.9844;74.09595;1.101611;284.1177;-0.0001340806
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_49_647.jpg;0;1;0;0.4941323;102.992;74.06564;1.11268;284.1732;-0.001022854
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_49_713.jpg;0;1;0;0.5727093;103.0003;74.03216;1.162275;284.2468;-0.001214343
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_49_780.jpg;0;1;0;0.6127528;103.0126;73.98284;1.235634;284.4539;-0.002346409
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_49_848.jpg;0;1;0;0.6641508;103.0225;73.94339;1.236033;284.4246;-0.0005912957
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_49_915.jpg;0;1;0;0.7370929;103.0331;73.90149;1.207954;284.478;-0.0009586005
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_49_982.jpg;0;1;0;0.7739019;103.0488;73.8403;1.205286;284.588;-0.0003308304
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_50_047.jpg;0;1;0;0.824836;103.0614;73.79092;1.216017;284.5601;-0.0005358102
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_50_113.jpg;0;1;0;0.8964158;103.0747;73.73881;1.217456;284.4685;0.00021576
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_50_182.jpg;0;1;0;0.9489719;103.0936;73.6646;1.216597;284.444;-0.0006388867
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_50_249.jpg;0;1;0;0.9972112;103.1085;73.6058;1.21385;284.4755;-0.001239157
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_50_314.jpg;0;1;0;1.060644;103.1242;73.54404;1.217149;284.4675;-0.0006621041
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_50_380.jpg;0;1;0;1.103416;103.1461;73.45774;1.219615;284.5447;-0.00116756
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_50_449.jpg;0;1;0;1.152489;103.1634;73.38967;1.226208;284.5154;-0.0004436903
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_50_515.jpg;0;1;0;1.213018;103.1815;73.31902;1.227542;284.4745;-0.0005915874
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_50_583.jpg;0;1;0;1.26118;103.2065;73.22044;1.231825;284.4318;-0.0007596338
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_50_648.jpg;0;1;0;1.308319;103.2261;73.14326;1.236061;284.4078;-0.0008189728
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_50_714.jpg;0;1;0;1.373432;103.2463;73.06332;1.240356;284.3875;-0.0008382152
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_50_781.jpg;0;1;0;1.420475;103.2743;72.95251;1.243704;284.3676;-0.0009100437
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_50_848.jpg;0;1;0;1.467477;103.2961;72.86609;1.250164;284.3507;-0.0009086715
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_50_915.jpg;0;1;0;1.528819;103.3185;72.77702;1.253268;284.3397;-0.0009276334
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_50_984.jpg;0;1;0;1.576291;103.3494;72.65399;1.259445;284.3242;-0.000976486
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_51_065.jpg;0;1;0;1.638011;103.3815;72.52615;1.26603;284.3094;-0.001019815
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_51_131.jpg;0;0.9004441;0;1.699508;103.4063;72.42723;1.267876;284.2997;-0.001049371
